rent,area,type,bathrooms,furnished_type,localityclass,city
80000,900,2,2,Furnished,class1,Mumbai
80000,750,2,2,Semi-Furnished,class1,Mumbai
75000,1320,3,2,Semi-Furnished,class1,Mumbai
69000,1150,2,2,Unfurnished,class1,Mumbai
69000,1150,2,2,Unfurnished,class1,Mumbai
69000,1670,2,3,Semi-Furnished,class2,Mumbai
80000,750,2,2,Semi-Furnished,class1,Mumbai
20000,650,1,1,Semi-Furnished,class2,Mumbai
75000,1050,2,2,Furnished,class1,Mumbai
63000,1450,2,2,Furnished,class2,Mumbai
82000,1350,3,2,Furnished,class1,Mumbai
80000,1650,3,3,Semi-Furnished,class2,Mumbai
9000,570,1,1,Semi-Furnished,class2,Mumbai
13000,825,2,1,Semi-Furnished,class2,Mumbai
18000,900,2,1,Semi-Furnished,class2,Mumbai
8000,584,1,1,Semi-Furnished,class3,Mumbai
32000,1100,2,2,Semi-Furnished,class2,Mumbai
16500,530,1,1,Unfurnished,class2,Mumbai
20500,750,1,1,Unfurnished,class2,Mumbai
12000,725,1,1,Unfurnished,class2,Mumbai
26000,650,1,1,Furnished,class2,Mumbai
14200,400,1,1,Semi-Furnished,class2,Mumbai
77000,1900,3,3,Furnished,class2,Mumbai
27000,1050,2,2,Semi-Furnished,class2,Mumbai
52000,900,2,2,Semi-Furnished,class1,Mumbai
66000,700,2,2,Semi-Furnished,class1,Mumbai
65000,550,1,1,Furnished,class1,Mumbai
25000,760,2,2,Semi-Furnished,class2,Mumbai
13000,651,1,2,Semi-Furnished,class2,Mumbai
75000,580,1,1,Furnished,class1,Mumbai
17000,650,1,2,Semi-Furnished,class2,Mumbai
16500,650,1,2,Semi-Furnished,class2,Mumbai
85000,1150,2,2,Furnished,class1,Mumbai
70000,1130,2,1,Semi-Furnished,class1,Mumbai
85000,1350,3,2,Semi-Furnished,class1,Mumbai
90000,2100,3,3,Semi-Furnished,class2,Mumbai
82000,1000,3,3,Semi-Furnished,class1,Mumbai
64000,820,2,2,Semi-Furnished,class1,Mumbai
85000,1100,2,2,Semi-Furnished,class1,Mumbai
65000,820,2,2,Semi-Furnished,class1,Mumbai
90000,2100,3,3,Semi-Furnished,class2,Mumbai
36000,890,2,2,Semi-Furnished,class2,Mumbai
88000,1050,2,2,Semi-Furnished,class1,Mumbai
88500,1050,2,2,Unfurnished,class1,Mumbai
90000,1050,2,2,Unfurnished,class1,Mumbai
19000,1160,2,2,Unfurnished,class2,Mumbai
65000,1150,2,2,Unfurnished,class1,Mumbai
22000,1050,2,2,Semi-Furnished,class2,Mumbai
50000,1080,2,2,Semi-Furnished,class2,Mumbai
90000,1506,3,2,Semi-Furnished,class1,Mumbai
65000,1150,2,2,Unfurnished,class1,Mumbai
70000,1650,3,4,Furnished,class2,Mumbai
68000,1210,3,2,Furnished,class1,Mumbai
27000,630,1,2,Unfurnished,class2,Mumbai
32000,644,1,2,Furnished,class2,Mumbai
42000,1021,2,2,Furnished,class2,Mumbai
80000,1833,3,3,Semi-Furnished,class2,Mumbai
47000,1040,2,2,Semi-Furnished,class2,Mumbai
62000,1620,3,3,Unfurnished,class2,Mumbai
80000,1950,3,3,Semi-Furnished,class2,Mumbai
45000,980,2,2,Furnished,class2,Mumbai
27000,650,1,2,Semi-Furnished,class2,Mumbai
82000,1850,3,3,Furnished,class2,Mumbai
65000,1150,2,2,Unfurnished,class1,Mumbai
70000,1100,2,2,Unfurnished,class1,Mumbai
53000,1800,3,2,Unfurnished,class2,Mumbai
43000,1900,3,2,Unfurnished,class2,Mumbai
26000,1200,2,1,Unfurnished,class2,Mumbai
46000,1500,2,2,Furnished,class2,Mumbai
33000,1250,2,2,Unfurnished,class2,Mumbai
18000,1200,2,2,Unfurnished,class2,Mumbai
32000,1200,2,2,Semi-Furnished,class2,Mumbai
17000,1200,2,2,Unfurnished,class3,Mumbai
26000,1250,2,2,Unfurnished,class2,Mumbai
17000,950,2,2,Unfurnished,class2,Mumbai
58000,2500,4,3,Unfurnished,class2,Mumbai
80000,1800,3,3,Semi-Furnished,class2,Mumbai
60000,1250,2,2,Semi-Furnished,class2,Mumbai
58000,1200,2,2,Semi-Furnished,class2,Mumbai
82000,1800,3,3,Semi-Furnished,class2,Mumbai
56000,1550,3,3,Semi-Furnished,class2,Mumbai
57000,1800,3,3,Semi-Furnished,class2,Mumbai
14000,603,1,1,Semi-Furnished,class2,Mumbai
80000,1760,3,3,Semi-Furnished,class2,Mumbai
23000,940,2,2,Semi-Furnished,class2,Mumbai
